Simulation	IndVar	PR	PRMethod	DP	MemSize	GB	GoalType	AlphaDB	BetaDB	DPMean	DPSD	GBMean	GBSD	AlphaDBMean	AlphaDBSD	BetaDBMean	BetaDBSD	DPScale	GBScale	AlphaDBScale	BetaDBScale	StraightenPath	SMtype	SMconst	MortHab1	MortHab2	MortHab3	MortHab4	MortHab5	CostHab1	CostHab2	CostHab3	CostHab4	CostHab5
1	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0	0	0	0.02	10	1	1	1	1000
2	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0	0	0	0.02	10	1	1	1	1000
3	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0	0	0	0.02	10	1	1	1	1000
4	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0	0	0	0.035	10	1	1	1	1000
5	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0	0	0	0.035	10	1	1	1	1000
6	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0	0	0	0.035	10	1	1	1	1000
7	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.05	0	0	0	0.05	10	1	1	1	1000
8	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.05	0	0	0	0.05	10	1	1	1	1000
9	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.05	0	0	0	0.05	10	1	1	1	1000
