Simulation	SeedType	FreeType 	SpType	InitDens	IndsHa	minX	maxX	minY	maxY	NCells	NSpCells	InitFreezeYear	RestrictRows	RestrictFreq	FinalFreezeYear	InitIndsFile
1	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
2	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
3	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
4	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
5	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
6	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
7	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
8	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
9	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
